keys,en,de
MISSION_SB_BELL_CRACKED_DESC,"Find out why Bellwell's signal bell no longer rings - ask at the Bell Gantry.","Finde heraus, warum Bellwells Signalglocke nicht mehr läutet – frag am Glockengerüst."
MISSION_SB_MOULD_FOUND_TITLE,"The Founder's Mould","Die Gießform"
MISSION_SB_MOULD_FOUND_DESC,"Buy back the bell mould from Quartermaster Ide at The Hulk. It needs a free cargo bay.","Kaufe Quartiermeisterin Ide auf dem Wrack die Glockenform ab. Sie braucht einen freien Laderaum."
MISSION_SB_COOLING_WATER_TITLE,"Cold Water","Kaltes Wasser"
MISSION_SB_COOLING_WATER_DESC,"Pay Pump Station Nine in fuel to lift cold water for the casting.","Bezahle Pumpstation Neun mit Treibstoff, damit sie kaltes Wasser für den Guss fördert."
MISSION_SB_BRONZE_RECOVERED_TITLE,"The Salt King's Bronze","Die Bronze des Salzkönigs"
MISSION_SB_BRONZE_RECOVERED_DESC,"Ride out from Basalt Watch and break the Salt King's procession. Board his war wagon to capture the bronze itself.","Zieh von der Basaltwacht aus und zerschlage den Zug des Salzkönigs. Entere seinen Kriegswagen, um die Bronze selbst zu erbeuten."
MISSION_SB_BELL_RUNG_TITLE,"Ring the Bell","Läute die Glocke"
MISSION_SB_BELL_RUNG_DESC,"Bring the mould back to Bellwell and have the bell recast and rung.","Bring die Form zurück nach Bellwell und lass die Glocke neu gießen und läuten."
MISSION_SB_MAREN_JOINED_TITLE,"The Founder's Daughter","Die Tochter des Gießers"
MISSION_SB_MAREN_JOINED_DESC,"Once you have the mould, Maren Kett wants to ride with you. Talk to her at the Bell Gantry.","Sobald du die Form hast, will Maren Kett mit dir fahren. Sprich mit ihr am Glockengerüst."
LOC_THE_HULK,"The Hulk","Das Wrack"
LOC_PUMP_STATION_NINE,"Pump Station Nine","Pumpstation Neun"
LOC_BASALT_WATCH,"Basalt Watch","Basaltwacht"
LOC_OLD_HARBOUR,"Old Harbour","Alter Hafen"
BLDG_NAME_SB_BELL_GANTRY,"The Bell Gantry","Das Glockengerüst"
BLDG_NAME_SB_WELL_HOUSE,"The Well House","Das Brunnenhaus"
BLDG_NAME_SB_HOLD_MARKET,"The Hold Market","Der Laderaum-Markt"
BLDG_NAME_SB_BOSUN_YARD,"The Bosun's Yard","Der Bootsmannshof"
BLDG_NAME_SB_PUMP_HOUSE,"The Pump House","Das Pumpenhaus"
BLDG_NAME_SB_LOOKOUT,"The Lookout","Der Ausguck"
BLDG_NAME_SB_CUSTOMS_HOUSE,"The Customs House","Das Zollhaus"
FACTION_SB_BELL_FOLK_NAME,"The Bell Folk","Das Glockenvolk"
FACTION_SB_SALTMEN_NAME,"The Saltmen","Die Salzmänner"
FACTION_SB_BELL_FOLK_LEADER,"Warden Ilse Marr","Wardein Ilse Marr"
FACTION_SB_SALTMEN_LEADER,"Salt King Oszkar","Salzkönig Oszkar"
ENC_NAME_SB_SALT_AMBUSH,"Ambush at the Glare Cut","Hinterhalt am Blendschnitt"
ENC_NAME_SB_SALTMEN_BOSS,"The Salt King's Procession","Der Zug des Salzkönigs"
VEH_THE_ROAD_MANOR,"The Road Manor","Das Straßenschlösschen"
PART_SB_BELL_MOULD_NAME,"Bell Founder's Mould","Glockengießerform"
PART_SB_BELL_BRONZE_NAME,"Stolen Bell Bronze","Gestohlene Glockenbronze"
PART_SB_ENGINE_SALTBOX_NAME,"Saltbox 2.0","Salzkiste 2.0"
EPI_SB_ENDING_BELL_RINGS_TITLE,"The Bell Over the Salt","Die Glocke über dem Salz"
EPI_SB_ENDING_BELL_RINGS_P1_TITLE,"The Basin","Das Becken"
EPI_SB_ENDING_BELL_RINGS_P2_TITLE,"Who Stayed","Wer blieb"
EPI_SB_ENDING_BELL_RINGS_P3_TITLE,"The Convoy","Der Konvoi"
